Nome;Partido;Estado;Codigo;CD01O022O008720;CD01O022O008722;CD01O031O008729;CD01O031O008730;CD01O032E008733;CD01O035O008734;CD01O035O008735;CD01O035O008736;CD01O035O008738;CD01O035O008739;CD01O035O008740;CD01O036E008741;CD01O036E008742;CD01O036E008743;CD01O043O008748;CD01O043O008749;CD01O043O008751;CD01O043O008752;CD01O044E008756;CD01O044E008758;CD01O044E008759;CD01O044E008760;CD01O044E008761;CD01O044E008762;Lado;tsne-1d-one;tsne-2d-two
SEBASTIÃO OLIVEIRA;PR;Pernambuco;159;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-17.676405;-8.399991
SILVIO COSTA FILHO;PRB;Pernambuco;160;Sim;Sim;Não Votou;Não;Sim;Não;Não;Não;Não;Não Votou;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;21.284727;9.165034
TADEU ALENCAR;PSB;Pernambuco;161;Não Votou;Não Votou;Sim;Não Votou;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;OPOSIÇÃO;-25.491577;-15.074901
ARTHUR LIRA;PP;Alagoas;162;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-11.200525;-9.03586
TÚLIO GADÊLHA;PDT;Pernambuco;163;Não;Não;Não;Não;Não;Sim;Não Votou;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-21.097715;-19.639297
WOLNEY QUEIROZ;PDT;Pernambuco;164;Não Votou;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Sim;Não;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-20.811846;-19.835756
ISNALDO BULHÕES JR.;MDB;Alagoas;165;Não Votou;Não Votou;Não;Art.;Art.;Não;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;3.6298342;-6.8209524
NIVALDO ALBUQUERQUE;PTB;Alagoas;166;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-3.674868;10.92727
JHC;PSB;Alagoas;167;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não Votou;Sim;OPOSIÇÃO;-11.81694;-13.181877
SERGIO TOLEDO;PR;Alagoas;168;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;2.5775406;13.684796
MARX BELTRÃO;PSD;Alagoas;169;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;17.498768;13.888773
PAULÃO;PT;Alagoas;170;Não;Não Votou;Obstrução;Sim;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Obstrução;Não Votou;Não;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-15.232389;-23.347433
