Nome;Partido;Estado;Codigo;CD01O022O008720;CD01O022O008722;CD01O031O008729;CD01O031O008730;CD01O032E008733;CD01O035O008734;CD01O035O008735;CD01O035O008736;CD01O035O008738;CD01O035O008739;CD01O035O008740;CD01O036E008741;CD01O036E008742;CD01O036E008743;CD01O043O008748;CD01O043O008749;CD01O043O008751;CD01O043O008752;CD01O044E008756;CD01O044E008758;CD01O044E008759;CD01O044E008760;CD01O044E008761;CD01O044E008762;Lado;tsne-1d-one;tsne-2d-two
ANDRÉ JANONES;Avate;Minas Gerais;223;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Abstenção;Não;Não;Sim;Sim;Não Votou;Não;Não Votou;Sim;MINORIA;18.74785;15.340964
ÁUREA CAROLINA;PSOL;Minas Gerais;224;Não;Não;Não;Não Votou;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;20.050346;15.90235
CABO JUNIO AMARAL;PSL;Minas Gerais;225;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;22.306267;4.335358
CHARLLES EVANGELISTA;PSL;Minas Gerais;226;Sim;Sim;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;15.625858;3.1951656
DELEGADO MARCELO FREITAS;PSL;Minas Gerais;227;Sim;Sim;Não;Não Votou;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-5.9948006;5.5214443
DIEGO ANDRADE;PSD;Minas Gerais;228;Não Votou;Sim;Sim;Sim;Não;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;2.4765806;-3.522597
DR. FREDERICO;Patriota;Minas Gerais;229;Não;Sim;Não;Não Votou;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;0.6818776;15.050803
EDUARDO BARBOSA;PSDB;Minas Gerais;230;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-8.763344;-10.070073
DIMAS FABIANO;PP;Minas Gerais;231;Não;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-3.0514638;-3.6367097
BILAC PINTO;DEM;Minas Gerais;232;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-3.3214178;6.7962914
DOMINGOS SÁVIO;PSDB;Minas Gerais;233;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-17.553623;-9.020749
EMIDINHO MADEIRA;PSB;Minas Gerais;234;Não;Sim;Não Votou;Obstrução;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Sim;Não Votou;Não;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-15.116278;-21.664904
MARCELO ARO;PHS;Minas Gerais;236;Não;Sim;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;4.882626;-0.4296776
MARGARIDA SALOMÃO;PT;Minas Gerais;237;Não;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-17.29975;-0.7842998
FÁBIO RAMALHO;MDB;Minas Gerais;238;Não;Não;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;10.977738;6.2760105
MÁRIO HERINGER;PDT;Minas Gerais;239;Não Votou;Não Votou;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;7.9315524;0.43021348
EUCLYDES PETTERSEN;PSC;Minas Gerais;240;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;20.06264;10.88209
FRANCO CARTAFINA;PHS;Minas Gerais;241;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-6.5229225;-4.442006
EROS BIONDINI;PROS;Minas Gerais;242;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;MINORIA;6.065425;16.739662
LINCOLN PORTELA;PR;Minas Gerais;243;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-20.101604;-3.5498924
FRED COSTA;Patriota;Minas Gerais;244;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;9.130121;23.523201
MISAEL VARELLA;PSD;Minas Gerais;245;Não;Sim;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Não;Não;Não Votou;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;13.419241;5.222177
GILBERTO ABRAMO;PRB;Minas Gerais;246;Não;Sim;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Abstenção;Sim;Não;Não;Sim;Sim;GOVERNO;13.856256;12.579419
NEWTON CARDOSO JR;MDB;Minas Gerais;247;Sim;Não;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-14.9690075;-25.226482
GREYCE ELIAS;Avate;Minas Gerais;248;Não Votou;Não Votou;Não;Sim;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Sim;Sim;Não Votou;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-12.572421;6.7654614
PATRUS ANANIAS;PT;Minas Gerais;249;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Não;Sim;Sim;OPOSIÇÃO;-11.161552;-6.975537
JÚLIO DELGADO;PSB;Minas Gerais;250;Não;Não;Não Votou;Abstenção;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;2.6049473;2.7357213
LUIS TIBÉ;Avate;Minas Gerais;251;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Não Votou;Sim;Não Votou;Sim;Obstrução;Obstrução;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-13.822113;-25.36435
MAURO LOPES;MDB;Minas Gerais;252;Sim;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;24.496595;6.911459
LEONARDO MONTEIRO;PT;Minas Gerais;253;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-14.220549;-15.938591
HERCÍLIO COELHO DINIZ;MDB;Minas Gerais;254;Sim;Sim;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;13.963235;-5.2595053
IGOR TIMO;Podemos;Minas Gerais;255;Não Votou;Sim;Não Votou;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;8.379993;-0.5192667
LAFAYETTE DE ANDRADA;PRB;Minas Gerais;256;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;GOVERNO;29.176151;6.5671654
LÉO MOTTA;PSL;Minas Gerais;257;Sim;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Sim;Obstrução;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-16.723608;-26.672424
LUCAS GONZALEZ;NOVO;Minas Gerais;258;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não Votou;Não;Sim;Sim;GOVERNO;-15.963115;-28.015667
PADRE JOÃO;PT;Minas Gerais;259;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;0.23144442;11.8852215
PAULO GUEDES;PT;Minas Gerais;260;Não;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Sim;Obstrução;Obstrução;Não Votou;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-11.141757;-24.270767
PINHEIRINHO;PP;Minas Gerais;261;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;12.546864;9.261964
ROGÉRIO CORREIA;PT;Minas Gerais;262;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Sim;Não;OPOSIÇÃO;30.150316;9.201285
PAULO ABI-ACKEL;PSDB;Minas Gerais;263;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-24.518183;-15.694556
TIAGO MITRAUD;NOVO;Minas Gerais;264;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;12.950483;-1.9363052
VILSON DA FETAEMG;PSB;Minas Gerais;265;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;3.646213;3.8470728
ZÉ VITOR;PMN;Minas Gerais;266;Não Votou;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;9.808154;1.776044
STEFANO AGUIAR;PSD;Minas Gerais;267;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-18.964811;-9.222018
RODRIGO DE CASTRO;PSDB;Minas Gerais;268;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Não Votou;Não;Não Votou;Sim;GOVERNO;-25.16783;-17.81744
ODAIR CUNHA;PT;Minas Gerais;269;Não Votou;Sim;Não;Não;Não;Não;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;2.1465595;-7.8305573
WELITON PRADO;PROS;Minas Gerais;270;Não;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-11.851528;-24.929863
ZÉ SILVA;Solidariedade;Minas Gerais;271;Não;Sim;Não Votou;Não;Sim;Não;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não Votou;Sim;Não;Não;Não Votou;Sim;MINORIA;-11.548398;1.3751992
REGINALDO LOPES;PT;Minas Gerais;272;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;25.725452;15.048064
SUBTENENTE GONZAGA;PDT;Minas Gerais;273;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;13.864429;22.657713
EVAIR VIEIRA DE MELO;PP;Espírito Santo;274;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;15.438558;21.202477
AMARO NETO;PRB;Espírito Santo;275;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;17.232302;11.899412
DA VITÓRIA;PPS;Espírito Santo;276;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Sim;MINORIA;6.7328467;-8.941486
DRA. SORAYA MANATO;PSL;Espírito Santo;277;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Não Votou;Sim;Sim;Sim;Obstrução;Obstrução;Sim;Sim;Não Votou;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-15.276438;-27.182207
FELIPE RIGONI;PSB;Espírito Santo;278;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;3.728038;3.3500054
HELDER SALOMÃO;PT;Espírito Santo;279;Não Votou;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;0.107799046;10.697343
LAURIETE;PR;Espírito Santo;281;Não;Sim;Não Votou;Não;Não;Não Votou;Sim;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;GOVERNO;-12.202591;-17.301477
NORMA AYUB;DEM;Espírito Santo;282;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;7.5450115;5.665253
SERGIO VIDIGAL;PDT;Espírito Santo;283;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;21.151691;15.593863
ALEXANDRE SERFIOTIS;PSD;Rio de Janeiro;284;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;5.9293904;8.415576
CARLOS JORDY;PSL;Rio de Janeiro;285;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-24.829075;-15.093719
ALTINEU CÔRTES;PR;Rio de Janeiro;286;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Abstenção;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-2.4555144;3.9929776
ALESSANDRO MOLON;PSB;Rio de Janeiro;287;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;21.007801;15.156025
CHIQUINHO BRAZÃO;Avate;Rio de Janeiro;288;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;MINORIA;11.052512;-7.0384674
CHRIS TONIETTO;PSL;Rio de Janeiro;289;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Sim;Não Votou;Obstrução;Sim;Sim;Não Votou;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-13.259375;-25.749985
AUREO RIBEIRO;Solidariedade;Rio de Janeiro;290;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;4.3438573;15.086995
BENEDITA DA SILVA;PT;Rio de Janeiro;291;Não Votou;Não;Não;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Sim;OPOSIÇÃO;-21.440586;-19.942976
CHRISTINO AUREO;PP;Rio de Janeiro;292;Não;Sim;Não Votou;Não;Não;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;GOVERNO;-16.787857;-13.6734085
CHICO D`ANGELO;PDT;Rio de Janeiro;293;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;21.008034;15.155965
CLARISSA GAROTINHO;PROS;Rio de Janeiro;294;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;-4.9102974;10.405199
DANIEL SILVEIRA;PSL;Rio de Janeiro;295;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;5.7043;15.680474
DANIELA DO WAGUINHO;MDB;Rio de Janeiro;296;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;2.9341445;12.8069
DELEGADO ANTÔNIO FURTADO;PSL;Rio de Janeiro;297;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-6.9577246;-5.891997
DR. LUIZ ANTONIO TEIXEIRA JR.;PP;Rio de Janeiro;298;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-8.763385;-10.070005
FELÍCIO LATERÇA;PSL;Rio de Janeiro;299;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;9.123995;1.6045991
FLORDELIS;PSD;Rio de Janeiro;300;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Não Votou;Não;Sim;Sim;Sim;GOVERNO;-0.771974;14.336947
GELSON AZEVEDO;PR;Rio de Janeiro;301;Não;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;15.475267;10.123082
GUTEMBERG REIS;MDB;Rio de Janeiro;302;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Sim;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-18.147076;-23.405867
HELIO LOPES;PSL;Rio de Janeiro;303;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-23.549168;-19.156292
GLAUBER BRAGA;PSOL;Rio de Janeiro;304;Não;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;2.4801228;3.1996639
JANDIRA FEGHALI;PCdoB;Rio de Janeiro;305;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;2.2139235;5.0335298
HUGO LEAL;PSD;Rio de Janeiro;306;Não;Não Votou;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;18.394304;14.329752
JUNINHO DO PNEU;DEM;Rio de Janeiro;308;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-3.6334276;0.34605294
LOURIVAL GOMES;PSL;Rio de Janeiro;309;Sim;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;21.109438;8.049238
LUIZ ANTÔNIO CORRÊA;DC;Rio de Janeiro;310;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;MINORIA;21.976513;4.215305
LUIZ LIMA;PSL;Rio de Janeiro;311;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;10.5678215;0.21757266
MAJOR FABIANA;PSL;Rio de Janeiro;312;Sim;Sim;Não;Não Votou;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;19.163902;8.227287
MARCELO CALERO;PPS;Rio de Janeiro;313;Não;Não;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Sim;Obstrução;Sim;Não Votou;Obstrução;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-11.776422;-23.827034
PEDRO PAULO;DEM;Rio de Janeiro;314;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;14.497256;14.088317
MARCELO FREIXO;PSOL;Rio de Janeiro;315;Sim;Não Votou;Não Votou;Não;Sim;Não;Não;Não Votou;Não Votou;Sim;Não;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não Votou;Não;Sim;Não Votou;OPOSIÇÃO;23.21664;12.584536
MÁRCIO LABRE;PSL;Rio de Janeiro;316;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;GOVERNO;30.171518;9.254397
OTONI DE PAULA;PSC;Rio de Janeiro;317;Sim;Sim;Não;Não;Não;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não Votou;Sim;GOVERNO;-20.276808;-25.25197
PAULO GANIME;NOVO;Rio de Janeiro;318;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;10.152183;17.013027
PAULO RAMOS;PDT;Rio de Janeiro;319;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;17.43698;11.974079
PROFESSOR JOZIEL;PSL;Rio de Janeiro;320;Não Votou;Não Votou;Art.;Não Votou;Não Votou;Art.;Art.;Não Votou;Não Votou;Art.;Art.;Art.;Art.;Art.;Art.;Art.;Art.;Art.;Art.;Sim;Não;Art.;Art.;Sim;GOVERNO;-14.990711;-9.529417
GURGEL;PSL;Rio de Janeiro;321;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não;Não;Sim;Não;Não;Não Votou;Sim;GOVERNO;-17.725828;-23.40177
