Nome;Partido;Estado;Codigo;CD01O206E008995;CD01O206E008996;CD01O206E008997;CD01O207E008998;CD01O207E008999;CD01O207E009000;CD01O207E009001;CD01O207E009002;CD01O208E009003;CD01O208E009004;CD01O208E009005;CD01O210E009006;CD01O210E009007;CD01O210E009008;CD01O210E009009;CD01O210E009010;CD01O210E009011;CD01O215O009012;CD01O216E009013;CD01O216E009014;CD01O216E009015;CD01O216E009016;CD01O218E009018;CD01O218E009019;CD01O218E009021;CD01O218E009022;CD01O218E009023;CD01O218E009024;CD01O218E009025;Lado;tsne-1d-one;tsne-2d-two
MARIA ROSAS;PRB;São Paulo;374;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;22.078236;4.6391783
MILTON VIEIRA;PRB;São Paulo;375;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;GOVERNO;-21.069124;-1.6476392
PAULO TEIXEIRA;PT;São Paulo;376;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não Votou;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;-11.40426;6.7566543
POLICIAL KATIA SASTRE;PL;São Paulo;377;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;MINORIA;2.50922;19.951073
MIGUEL LOMBARDI;PL;São Paulo;378;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não Votou;Não;Sim;Sim;Não;Sim;Não;MINORIA;0.574724;3.2528167
PR. MARCO FELICIANO;Podemos;São Paulo;379;Não;Sim;Não;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Obstrução;Obstrução;Não Votou;Não;Não;Sim;Não Votou;Não;Não Votou;Não Votou;Sim;Não;MINORIA;1.0973185;-11.424689
PAULO FREIRE COSTA;PL;São Paulo;380;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;MINORIA;-19.515272;-0.52162814
LUIZ FLÁVIO GOMES;PSB;São Paulo;381;Não Votou;Sim;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;OPOSIÇÃO;-13.160224;-13.847675
NILTO TATTO;PT;São Paulo;382;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Não;Obstrução;Não;Não;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;OPOSIÇÃO;-12.834281;6.8343234
RICARDO IZAR;PP;São Paulo;383;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não;Não;Sim;Não;GOVERNO;-12.827254;-11.864851
RODRIGO AGOSTINHO;PSB;São Paulo;384;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;5.4455786;22.837704
ROBERTO DE LUCENA;Podemos;São Paulo;385;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;Não;Não;Não Votou;Não;Não Votou;Não Votou;Obstrução;Não Votou;Não;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Não;MINORIA;-12.584135;-11.379382
ORLANDO SILVA;PCdoB;São Paulo;386;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;-10.3829565;6.351934
ROBERTO ALVES;PRB;São Paulo;387;Não;Sim;Obstrução;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Obstrução;Obstrução;Obstrução;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;GOVERNO;-12.264068;-13.009628
ROSANA VALLE;PSB;São Paulo;388;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;OPOSIÇÃO;-2.974578;-9.857729
SAMUEL MOREIRA;PSDB;São Paulo;389;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;GOVERNO;-12.634894;-12.724429
RUI FALCÃO;PT;São Paulo;390;Obstrução;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Não;OPOSIÇÃO;-23.965996;-16.957071
SÂMIA BOMFIM;PSOL;São Paulo;391;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Não Votou;Obstrução;Não;Obstrução;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;OPOSIÇÃO;-21.919561;-11.488882
TIRIRICA;PL;São Paulo;392;Não;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;MINORIA;-20.700562;-6.7510505
TABATA AMARAL;PDT;São Paulo;393;Não Votou;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;1.1964238;-2.5965734
VANDERLEI MACRIS;PSDB;São Paulo;394;Não;Sim;Não Votou;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não Votou;GOVERNO;-0.17769755;13.628106
VINICIUS POIT;NOVO;São Paulo;395;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não;GOVERNO;-12.607002;-12.062967
VICENTINHO;PT;São Paulo;396;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Não;Não Votou;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;OPOSIÇÃO;-13.253316;6.7477503
VINICIUS CARVALHO;PRB;São Paulo;397;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;Sim;Não;Sim;GOVERNO;-20.843328;0.261091
CARLOS ZARATTINI;PT;São Paulo;398;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não;Não Votou;Não;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-13.84507;6.0666757
VITOR LIPPI;PSDB;São Paulo;399;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;6.1858478;18.027504
CARLOS BEZERRA;MDB;Mato Grosso;400;Não;Sim;Abstenção;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;5.080991;12.356512
JUAREZ COSTA;MDB;Mato Grosso;401;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;18.725317;2.7238739
DR. LEONARDO;Solidariedade;Mato Grosso;402;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;MINORIA;20.588717;3.2671142
EMANUEL PINHEIRO NETO;PTB;Mato Grosso;403;Não;Sim;Obstrução;Não;Não;Sim;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;GOVERNO;2.677393;16.872122
JOSÉ MEDEIROS;Podemos;Mato Grosso;404;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Não;MINORIA;4.128075;-12.289498
NELSON BARBUDO;PSL;Mato Grosso;405;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Obstrução;Obstrução;Obstrução;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;0.8944502;-14.056862
NERI GELLER;PP;Mato Grosso;406;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Sim;Não;Sim;GOVERNO;-19.73673;-3.192289
ERIKA KOKAY;PT;Distrito Federal;407;Obstrução;Obstrução;Sim;Obstrução;Não Votou;Não Votou;Obstrução;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-22.258507;-13.587805
