Nome;Partido;Estado;Codigo;CD01O206E008995;CD01O206E008996;CD01O206E008997;CD01O207E008998;CD01O207E008999;CD01O207E009000;CD01O207E009001;CD01O207E009002;CD01O208E009003;CD01O208E009004;CD01O208E009005;CD01O210E009006;CD01O210E009007;CD01O210E009008;CD01O210E009009;CD01O210E009010;CD01O210E009011;CD01O215O009012;CD01O216E009013;CD01O216E009014;CD01O216E009015;CD01O216E009016;CD01O218E009018;CD01O218E009019;CD01O218E009021;CD01O218E009022;CD01O218E009023;CD01O218E009024;CD01O218E009025;Lado;tsne-1d-one;tsne-2d-two
BETO PEREIRA;PSDB;Mato Grosso do Sul;433;Não;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;GOVERNO;-20.94448;-1.6879041
DAGOBERTO NOGUEIRA;PDT;Mato Grosso do Sul;434;Obstrução;Não Votou;Sim;Obstrução;Obstrução;Não Votou;Obstrução;Não;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Obstrução;Não Votou;Não;Não;Sim;Sim;Não;Não Votou;Não;Não;Não;MINORIA;-5.0020776;-8.79753
DR. LUIZ OVANDO;PSL;Mato Grosso do Sul;435;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Sim;GOVERNO;19.887177;4.0844207
FÁBIO TRAD;PSD;Mato Grosso do Sul;436;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;8.930632;16.10338
TEREZA CRISTINA;DEM;Mato Grosso do Sul;437;Não Votou;Não Votou;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Não;Não;Não;Obstrução;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Não;GOVERNO;-11.639616;-12.716824
VANDER LOUBET;PT;Mato Grosso do Sul;438;Obstrução;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não;Obstrução;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;-11.075481;8.736129
LOESTER TRUTIS;PSL;Mato Grosso do Sul;439;Não;Sim;Obstrução;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;4.535849;-4.2507114
ROSE MODESTO;PSDB;Mato Grosso do Sul;440;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;-18.41581;-1.8650073
ALIEL MACHADO;PSB;Paraná;441;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;OPOSIÇÃO;-13.916434;7.52281
CHRISTIANE DE SOUZA YARED;PL;Paraná;442;Não;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não Votou;Sim;MINORIA;16.475737;1.9700146
ALINE SLEUTJES;PSL;Paraná;443;Não;Sim;Obstrução;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Sim;GOVERNO;18.910563;0.98893
AROLDO MARTINS;PRB;Paraná;444;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;GOVERNO;-20.154375;-2.3384733
BOCA ABERTA;PROS;Paraná;445;Não Votou;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Obstrução;Obstrução;Obstrução;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;MINORIA;-3.3496456;-9.17867
FELIPE FRANCISCHINI;PSL;Paraná;446;Não;Sim;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;16.827806;10.789815
DIEGO GARCIA;Podemos;Paraná;447;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;MINORIA;1.8787286;-9.634207
HERMES PARCIANELLO;MDB;Paraná;448;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Não;Não;Não;Sim;Não Votou;GOVERNO;-13.842006;-11.034348
ENIO VERRI;PT;Paraná;449;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Sim;Não Votou;Não;Não Votou;OPOSIÇÃO;-12.389013;7.27103
FILIPE BARROS;PSL;Paraná;450;Não Votou;Sim;Abstenção;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Sim;GOVERNO;-19.401648;0.6692165
GLEISI HOFFMANN;PT;Paraná;451;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Sim;Sim;Não Votou;Não;Sim;Sim;Não Votou;Não Votou;Sim;OPOSIÇÃO;-11.935595;1.1101291
GUSTAVO FRUET;PDT;Paraná;452;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;MINORIA;-9.8485155;2.9626973
LEANDRE;PV;Paraná;453;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;-0.30886734;6.170347
LUISA CANZIANI;PTB;Paraná;454;Não Votou;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;8.351103;12.841988
VERMELHO;PSD;Paraná;455;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;-19.712145;-2.9688845
LUCIANO DUCCI;PSB;Paraná;457;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não Votou;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-11.962225;5.0405593
PAULO EDUARDO MARTINS;PSC;Paraná;458;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;GOVERNO;9.344128;4.748892
LUIZ NISHIMORI;PL;Paraná;459;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;MINORIA;8.346799;17.128748
RUBENS BUENO;CIDADANIA;Paraná;460;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;MINORIA;5.3297853;18.448912
PEDRO LUPION;DEM;Paraná;461;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;GOVERNO;10.9738245;0.20503025
RICARDO BARROS;PP;Paraná;462;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;GOVERNO;4.566031;3.8240416
LUIZÃO GOULART;PRB;Paraná;463;Não;Sim;Abstenção;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não Votou;GOVERNO;2.3318837;-9.401502
SARGENTO FAHUR;PSD;Paraná;464;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Sim;Não;Não Votou;Sim;Sim;Não;Sim;GOVERNO;10.537133;17.994287
GIACOBO;PL;Paraná;466;Não;Sim;Obstrução;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Sim;MINORIA;4.029005;18.13807
SERGIO SOUZA;MDB;Paraná;467;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Não Votou;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;-17.447521;-0.42334983
ZECA DIRCEU;PT;Paraná;468;Obstrução;Não Votou;Não Votou;Obstrução;Sim;Obstrução;Obstrução;Não;Não Votou;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;-10.266206;6.541411
SCHIAVINATO;PP;Paraná;469;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Sim;GOVERNO;0.79428315;16.633692
TONINHO WANDSCHEER;PROS;Paraná;470;Não Votou;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Sim;MINORIA;17.709421;1.8630407
ANGELA AMIN;PP;Santa Catarina;471;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;Sim;Não;Sim;GOVERNO;17.38787;3.7072098
CELSO MALDANER;MDB;Santa Catarina;472;Não Votou;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Não Votou;Não;Sim;GOVERNO;18.115915;1.5753016
CARLOS CHIODINI;MDB;Santa Catarina;473;Não;Sim;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Não;Não;GOVERNO;11.819984;2.8369837
CAROLINE DE TONI;PSL;Santa Catarina;474;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;7.2296386;14.918452
CORONEL ARMANDO;PSL;Santa Catarina;475;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;18.724302;2.719712
DANIEL FREITAS;PSL;Santa Catarina;476;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;23.974539;0.36332333
CARMEN ZANOTTO;CIDADANIA;Santa Catarina;477;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Não;Não;Não Votou;Sim;Não;MINORIA;0.129689;-11.026749
DARCI DE MATOS;PSD;Santa Catarina;478;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;GOVERNO;9.5893135;19.784443
FABIO SCHIOCHET;PSL;Santa Catarina;479;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;7.6799984;1.517557
GILSON MARQUES;NOVO;Santa Catarina;480;Não;Sim;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Sim;GOVERNO;-20.164978;-0.49786806
PEDRO UCZAI;PT;Santa Catarina;481;Obstrução;Obstrução;Sim;Não Votou;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;-11.188297;6.021034
GEOVANIA DE SÁ;PSDB;Santa Catarina;482;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;6.223551;22.413336
ROGÉRIO PENINHA MENDONÇA;MDB;Santa Catarina;483;Não;Sim;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;4.3254347;12.793189
HÉLIO COSTA;PRB;Santa Catarina;484;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Sim;GOVERNO;20.006977;3.7117207
RICARDO GUIDI;PSD;Santa Catarina;485;Não;Sim;Obstrução;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Sim;GOVERNO;20.689411;6.8386474
ALCEU MOREIRA;MDB;Rio Grande do Sul;486;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Não Votou;Não;Sim;Não;GOVERNO;5.729525;-9.099107
AFONSO HAMM;PP;Rio Grande do Sul;487;Não;Sim;Obstrução;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Sim;Não Votou;Não;Sim;GOVERNO;20.729586;7.3184223
RODRIGO COELHO;PSB;Santa Catarina;488;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;8.7003;17.249725
BIBO NUNES;PSL;Rio Grande do Sul;489;Não;Sim;Obstrução;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Não Votou;GOVERNO;-19.617687;-1.5586506
AFONSO MOTTA;PDT;Rio Grande do Sul;490;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não Votou;Sim;Sim;Não Votou;Não Votou;Não;MINORIA;-13.079101;7.872951
DANIEL TRZECIAK;PSDB;Rio Grande do Sul;491;Não;Sim;Não Votou;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Obstrução;Obstrução;Obstrução;Não;Não;Sim;Obstrução;Obstrução;Não;Não;Sim;Não;GOVERNO;1.7318848;-11.331197
CARLOS GOMES;PRB;Rio Grande do Sul;492;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Obstrução;Obstrução;Obstrução;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;GOVERNO;1.7203213;-12.652267
GIOVANI FELTES;MDB;Rio Grande do Sul;494;Não;Sim;Obstrução;Sim;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Obstrução;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;GOVERNO;-0.06390848;-12.624957
DANRLEI DE DEUS HINTERHOLZ;PSD;Rio Grande do Sul;495;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Não;Não;Não;Obstrução;Não Votou;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;-18.852983;-0.5652309
FERNANDA MELCHIONNA;PSOL;Rio Grande do Sul;496;Obstrução;Não Votou;Sim;Obstrução;Obstrução;Não Votou;Obstrução;Não;Obstrução;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;-22.026217;-10.586767
HENRIQUE FONTANA;PT;Rio Grande do Sul;498;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-22.201889;-12.2829
BOHN GASS;PT;Rio Grande do Sul;499;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Sim;OPOSIÇÃO;-23.661192;-11.078251
LIZIANE BAYER;PSB;Rio Grande do Sul;500;Não Votou;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Obstrução;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;OPOSIÇÃO;-0.872909;-10.483294
LUCAS REDECKER;PSDB;Rio Grande do Sul;501;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Sim;GOVERNO;11.963244;0.97150385
GIOVANI CHERINI;PL;Rio Grande do Sul;502;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;8.828767;1.7751224
MARCEL VAN HATTEM;NOVO;Rio Grande do Sul;503;Não;Sim;Obstrução;Não;Não;Não Votou;Não;Sim;Não Votou;Sim;Sim;Não;Não;Não Votou;Não;Não;Não;Não Votou;Obstrução;Obstrução;Não;Não;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não;GOVERNO;-12.244345;-12.964849
HEITOR SCHUCH;PSB;Rio Grande do Sul;504;Sim;Não;Não Votou;Obstrução;Não;Obstrução;Obstrução;Não;Sim;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Não Votou;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;OPOSIÇÃO;-4.2531176;-9.468101
JERÔNIMO GOERGEN;PP;Rio Grande do Sul;505;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Não;GOVERNO;4.520465;-8.053072
MARCELO MORAES;PTB;Rio Grande do Sul;506;Não;Sim;Não;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Sim;GOVERNO;-19.062624;-1.7453945
MARCON;PT;Rio Grande do Sul;507;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Não;Não;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-22.321024;-15.329446
MARIA DO ROSÁRIO;PT;Rio Grande do Sul;508;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Não Votou;Obstrução;Não;Não Votou;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Obstrução;Obstrução;Obstrução;Não;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Não;OPOSIÇÃO;-4.6215577;-9.388451
MARLON SANTOS;PDT;Rio Grande do Sul;509;Não Votou;Obstrução;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Sim;MINORIA;16.032145;9.201794
ONYX LORENZONI;DEM;Rio Grande do Sul;510;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;5.3089223;17.320026
MAURÍCIO DZIEDRICKI;PTB;Rio Grande do Sul;511;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;GOVERNO;5.7584567;-10.535669
NEREU CRISPIM;PSL;Rio Grande do Sul;512;Não;Sim;Abstenção;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Não;Sim;GOVERNO;-20.12646;-1.1689274
PAULO PIMENTA;PT;Rio Grande do Sul;513;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Não Votou;Não;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;-11.694213;7.383754
PEDRO WESTPHALEN;PP;Rio Grande do Sul;514;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Obstrução;Não Votou;Não;Não;Sim;Não;GOVERNO;2.6305947;-10.124867
MÁRCIO BIOLCHI;MDB;Rio Grande do Sul;515;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não Votou;GOVERNO;-20.388329;-1.0640056
POMPEO DE MATTOS;PDT;Rio Grande do Sul;516;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Sim;Não;Sim;MINORIA;-11.269129;7.047649
SANDERSON;PSL;Rio Grande do Sul;517;Não;Sim;Obstrução;Não;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não;Sim;GOVERNO;12.549026;14.651574
JORGE BRAZ;PRB;Rio de Janeiro;518;Não;Sim;Abstenção;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;Abstenção;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;1.8350908;12.5157585
