Nome;Partido;Estado;Codigo;CD01O004O008658;CD01O004O008660;CD01O006O008679;CD01O008E008686;CD01O010O008688;CD01O010O008689;CD01O010O008694;CD01O010O008695;CD01O011O008696;CD01O011O008697;CD01O011O008698;CD01O011O008699;CD01O011O008700;CD01O011O008701;CD01O011O008702;CD01O012E008703;CD01O012E008704;CD01O012E008705;CD01O013E008706;Lado;tsne-1d-one;tsne-2d-two
JOSIAS GOMES;PT;Bahia;202;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-6.645943;-11.111435
JOSÉ ROCHA;PR;Bahia;203;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Sim;Não Votou;Não;Não;Sim;Não Votou;GOVERNO;11.910945;16.174734
JORGE SOLLA;PT;Bahia;204;Obstrução;Obstrução;Não;Obstrução;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Não;Não Votou;Sim;Não;Obstrução;OPOSIÇÃO;-16.80488;-20.388947
MARCELO NILO;PSB;Bahia;205;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Abstenção;Sim;Não;Não;OPOSIÇÃO;-27.212315;-14.6645
OTTO ALENCAR FILHO;PSD;Bahia;206;Não Votou;Não;Não;Não;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não Votou;Não Votou;Sim;Não;Obstrução;GOVERNO;-17.418573;-19.284039
PASTOR SARGENTO ISIDÓRIO;Avate;Bahia;207;Sim;Não Votou;Não;Não Votou;Sim;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Abstenção;MINORIA;-30.535967;-17.076668
MÁRIO NEGROMONTE JR.;PP;Bahia;208;Não Votou;Não;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Não;GOVERNO;5.119815;4.5357404
NELSON PELLEGRINO;PT;Bahia;209;Não Votou;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Obstrução;Não;Não Votou;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-19.3412;-22.828014
PROFESSORA DAYANE PIMENTEL;PSL;Bahia;210;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;GOVERNO;23.146551;25.962534
RAIMUNDO COSTA;PRP;Bahia;211;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;MINORIA;17.825409;4.536984
MÁRCIO MARINHO;PRB;Bahia;212;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não Votou;Sim;Não;Não Votou;GOVERNO;-21.745382;-17.74102
SÉRGIO BRITO;PSD;Bahia;213;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;16.168056;21.00627
TITO;Avate;Bahia;214;Não Votou;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;MINORIA;-13.877003;-19.063467
PAULO AZI;DEM;Bahia;215;Não;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Não;GOVERNO;11.565744;8.967135
RONALDO CARLETTO;PP;Bahia;216;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;16.430706;17.038612
ZÉ NETO;PT;Bahia;217;Não Votou;Sim;Não;Não Votou;Sim;Não;Sim;Não;Obstrução;Não;Não Votou;Sim;Obstrução;Não Votou;Não;Não Votou;Sim;Não;Não Votou;OPOSIÇÃO;-22.143133;-25.357513
VALMIR ASSUNÇÃO;PT;Bahia;218;Obstrução;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-18.437168;-22.360027
WALDENOR PEREIRA;PT;Bahia;219;Não Votou;Obstrução;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não;Não Votou;Sim;Obstrução;Não Votou;Não Votou;Obstrução;Sim;Não;Não Votou;OPOSIÇÃO;-16.01534;-25.500568
ULDURICO JUNIOR;PPL;Bahia;220;Não Votou;Não;Sim;Não Votou;Sim;Não;Sim;Não;Não Votou;Não;Não;Não Votou;Não;Não;Não;Não;Não Votou;Não;Não Votou;OPOSIÇÃO;-19.822943;-14.847868
AÉCIO NEVES;PSDB;Minas Gerais;221;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-6.801439;-6.9894633
ALÊ SILVA;PSL;Minas Gerais;222;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Obstrução;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;22.520573;21.912277
ANDRÉ JANONES;Avate;Minas Gerais;223;Não;Sim;Não;Obstrução;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;MINORIA;-26.518833;-19.439884
ÁUREA CAROLINA;PSOL;Minas Gerais;224;Não Votou;Obstrução;Não;Obstrução;Sim;Não;Sim;Obstrução;Obstrução;Não;Obstrução;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-20.029188;-21.837929
