Nome;Partido;Estado;Codigo;CD01O004O008658;CD01O004O008660;CD01O006O008679;CD01O008E008686;CD01O010O008688;CD01O010O008689;CD01O010O008694;CD01O010O008695;CD01O011O008696;CD01O011O008697;CD01O011O008698;CD01O011O008699;CD01O011O008700;CD01O011O008701;CD01O011O008702;CD01O012E008703;CD01O012E008704;CD01O012E008705;CD01O013E008706;Lado;tsne-1d-one;tsne-2d-two
ODAIR CUNHA;PT;Minas Gerais;269;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Sim;Não;Obstrução;Não;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Sim;Não;Não Votou;OPOSIÇÃO;-21.38575;-25.175217
WELITON PRADO;PROS;Minas Gerais;270;Sim;Sim;Não;Não;Sim;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;MINORIA;-29.913052;-17.940075
ZÉ SILVA;Solidariedade;Minas Gerais;271;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Não;Não;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não;MINORIA;-4.6672187;-6.175255
REGINALDO LOPES;PT;Minas Gerais;272;Obstrução;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-17.49451;-22.624853
SUBTENENTE GONZAGA;PDT;Minas Gerais;273;Não;Não;Não Votou;Não;Sim;Não;Sim;Não;Sim;Não Votou;Não;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não;Não;MINORIA;-19.24898;-11.231775
EVAIR VIEIRA DE MELO;PP;Espírito Santo;274;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;GOVERNO;0.10803463;12.483151
AMARO NETO;PRB;Espírito Santo;275;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;GOVERNO;-4.1510906;-1.1550508
DA VITÓRIA;PPS;Espírito Santo;276;Não;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;MINORIA;-3.6864512;3.5385945
DRA. SORAYA MANATO;PSL;Espírito Santo;277;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;23.819834;23.042645
FELIPE RIGONI;PSB;Espírito Santo;278;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Não;Não;OPOSIÇÃO;-0.25287807;-11.303505
HELDER SALOMÃO;PT;Espírito Santo;279;Não Votou;Obstrução;Não;Obstrução;Não Votou;Não;Sim;Não;Obstrução;Não;Não Votou;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-19.307024;-22.78749
LAURIETE;PR;Espírito Santo;281;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;13.450142;4.758766
NORMA AYUB;DEM;Espírito Santo;282;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Sim;Obstrução;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;7.6823964;14.182197
SERGIO VIDIGAL;PDT;Espírito Santo;283;Não;Não;Sim;Obstrução;Sim;Não;Não;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;MINORIA;-20.871733;-10.089288
ALEXANDRE SERFIOTIS;PSD;Rio de Janeiro;284;Não Votou;Não;Sim;Não Votou;Sim;Não Votou;Não;Não;Não;Não;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não Votou;GOVERNO;-4.1584296;-5.61295
CARLOS JORDY;PSL;Rio de Janeiro;285;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;21.502283;24.532837
ALTINEU CÔRTES;PR;Rio de Janeiro;286;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não;Não;Não Votou;GOVERNO;-0.95713246;5.477658
ALESSANDRO MOLON;PSB;Rio de Janeiro;287;Não Votou;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não Votou;OPOSIÇÃO;-27.05956;-15.401302
CHIQUINHO BRAZÃO;Avate;Rio de Janeiro;288;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;MINORIA;5.652729;-4.1120067
CHRIS TONIETTO;PSL;Rio de Janeiro;289;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;21.434326;22.80294
AUREO RIBEIRO;Solidariedade;Rio de Janeiro;290;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Não Votou;Não;MINORIA;-7.2248244;-13.928643
BENEDITA DA SILVA;PT;Rio de Janeiro;291;Obstrução;Obstrução;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-8.879831;-8.565598
CHRISTINO AUREO;PP;Rio de Janeiro;292;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;7.418462;10.01492
CHICO D`ANGELO;PDT;Rio de Janeiro;293;Não;Não Votou;Sim;Não Votou;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Obstrução;MINORIA;-25.24913;-15.063304
CLARISSA GAROTINHO;PROS;Rio de Janeiro;294;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não;Não;MINORIA;-14.3558855;-18.38516
DANIEL SILVEIRA;PSL;Rio de Janeiro;295;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;23.816647;23.038004
DANIELA DO WAGUINHO;MDB;Rio de Janeiro;296;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;7.479445;10.454159
DELEGADO ANTÔNIO FURTADO;PSL;Rio de Janeiro;297;Não;Não;Sim;Não;Não;Sim;Não;Sim;Obstrução;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;24.856552;24.060503
DR. LUIZ ANTONIO TEIXEIRA JR.;PP;Rio de Janeiro;298;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;GOVERNO;13.697664;5.6968646
FELÍCIO LATERÇA;PSL;Rio de Janeiro;299;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;24.856552;24.060503
FLORDELIS;PSD;Rio de Janeiro;300;Não;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.0399685;8.952877
GELSON AZEVEDO;PHS;Rio de Janeiro;301;Não;Não;Sim;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;GOVERNO;17.29944;8.48518
GUTEMBERG REIS;MDB;Rio de Janeiro;302;Não;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;9.645478;16.669176
HELIO LOPES;PSL;Rio de Janeiro;303;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;21.433764;22.801113
GLAUBER BRAGA;PSOL;Rio de Janeiro;304;Obstrução;Obstrução;Não;Não Votou;Sim;Não;Sim;Obstrução;Obstrução;Não;Obstrução;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-20.697773;-23.345821
JANDIRA FEGHALI;PCdoB;Rio de Janeiro;305;Sim;Sim;Não;Obstrução;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não;Não;OPOSIÇÃO;-29.21786;-19.434982
HUGO LEAL;PSD;Rio de Janeiro;306;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;GOVERNO;11.087872;19.326086
JUNINHO DO PNEU;DEM;Rio de Janeiro;308;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;5.4972615;0.9344842
LOURIVAL GOMES;PSL;Rio de Janeiro;309;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;22.513292;23.917084
LUIZ ANTÔNIO CORRÊA;DC;Rio de Janeiro;310;Não;Não;Não Votou;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;MINORIA;9.308532;0.23535839
LUIZ LIMA;PSL;Rio de Janeiro;311;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;23.821472;23.043215
MAJOR FABIANA;PSL;Rio de Janeiro;312;Não;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;23.14239;24.48834
MARCELO CALERO;PPS;Rio de Janeiro;313;Não;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;MINORIA;-2.4074416;2.9942098
PEDRO PAULO;DEM;Rio de Janeiro;314;Não;Não;Sim;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;GOVERNO;15.942587;12.554061
MARCELO FREIXO;PSOL;Rio de Janeiro;315;Obstrução;Obstrução;Não;Obstrução;Sim;Não;Sim;Obstrução;Obstrução;Não;Obstrução;Sim;Obstrução;Não;Não;Não Votou;Sim;Não;Obstrução;OPOSIÇÃO;-21.588213;-22.576153
MÁRCIO LABRE;PSL;Rio de Janeiro;316;Não;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;20.677921;25.040651
OTONI DE PAULA;PSC;Rio de Janeiro;317;Não;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.0325775;9.176287
PAULO GANIME;NOVO;Rio de Janeiro;318;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.12253;6.1461024
PAULO RAMOS;PDT;Rio de Janeiro;319;Não Votou;Não;Sim;Não;Sim;Não Votou;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Não;Não Votou;Não Votou;Não;Não;MINORIA;-23.322342;-13.3820915
PROFESSOR JOZIEL;PSL;Rio de Janeiro;320;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;20.204279;23.258905
GURGEL;PSL;Rio de Janeiro;321;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não;GOVERNO;22.534487;25.100447
RODRIGO MAIA;DEM;17 Rio de Janeiro;322;Art.;Art.;Art.;Não Votou;Art.;Art.;Art.;Sim;Art.;Sim;Art.;Não;Art.;Sim;Art.;Art.;Art.;Sim;Não Votou;GOVERNO;-4.637531;-11.709157
TALÍRIA PETRONE;PSOL;Rio de Janeiro;323;Obstrução;Obstrução;Não;Obstrução;Sim;Não;Sim;Obstrução;Obstrução;Não;Obstrução;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-20.608406;-22.448544
VINICIUS FARAH;MDB;Rio de Janeiro;324;Não Votou;Não;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Sim;Não Votou;Não;Sim;Não;GOVERNO;3.40083;10.976563
ROSANGELA GOMES;PRB;Rio de Janeiro;325;Não;Não;Sim;Não Votou;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;11.036283;-0.93429935
WLADIMIR GAROTINHO;PRP;Rio de Janeiro;327;Não Votou;Não;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Não;Não Votou;Não Votou;Sim;Não;MINORIA;-10.452766;-10.031185
SORAYA SANTOS;PR;Rio de Janeiro;328;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-7.067043;-11.108676
SÓSTENES CAVALCANTE;DEM;Rio de Janeiro;329;Não;Não Votou;Sim;Não;Sim;Não;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;GOVERNO;4.7248225;0.09094212
RENATA ABREU;Podemos;São Paulo;330;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;MINORIA;11.1540785;11.586068
ALEX MANENTE;PPS;São Paulo;331;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Não;Não;MINORIA;-3.0411367;4.3178096
ABOU ANNI;PSL;São Paulo;332;Não Votou;Não;Sim;Não;Não;Abstenção;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não;GOVERNO;20.053637;21.733852
ADRIANA VENTURA;NOVO;São Paulo;333;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;11.685477;5.945511
ALEXANDRE LEITE;DEM;São Paulo;334;Não;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.726175;8.529656
BRUNA FURLAN;PSDB;São Paulo;335;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-7.4783406;-10.895266
ARLINDO CHINAGLIA;PT;São Paulo;336;Não Votou;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Obstrução;Não;Não Votou;Sim;Não Votou;Não;Não;Obstrução;Não Votou;Não;Não Votou;OPOSIÇÃO;-17.425127;-23.98759
ALENCAR SANTANA BRAGA;PT;São Paulo;337;Não Votou;Obstrução;Não;Obstrução;Sim;Não Votou;Não Votou;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Não Votou;Não;Não Votou;OPOSIÇÃO;-15.259748;-21.951849
CARLOS SAMPAIO;PSDB;São Paulo;338;Não;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-8.995468;-8.743321
ARNALDO JARDIM;PPS;São Paulo;339;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;MINORIA;-2.4524322;4.9138923
ALEXANDRE FROTA;PSL;São Paulo;340;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;25.396442;21.48433
ALEXANDRE PADILHA;PT;São Paulo;341;Obstrução;Obstrução;Não;Não Votou;Sim;Não;Sim;Não;Obstrução;Não;Não Votou;Sim;Não Votou;Não;Não;Obstrução;Não Votou;Não;Obstrução;OPOSIÇÃO;-18.211874;-24.42201
BALEIA ROSSI;MDB;São Paulo;342;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;GOVERNO;11.268718;11.411317
ALEXIS FONTEYNE;NOVO;São Paulo;343;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.8517885;6.2444344
GUILHERME DERRITE;PP;São Paulo;344;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.317141;7.102943
ELI CORRÊA FILHO;DEM;São Paulo;345;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;GOVERNO;1.1934304;5.1776605
CAPITÃO AUGUSTO;PR;São Paulo;346;Não;Não;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;15.533697;14.677729
CELSO RUSSOMANNO;PRB;São Paulo;347;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;GOVERNO;-7.411582;-5.254999
GUILHERME MUSSI;PP;São Paulo;348;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;GOVERNO;4.7445154;-1.2662823
JEFFERSON CAMPOS;PSB;São Paulo;349;Não;Não Votou;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não Votou;Não;Não;Não;Não Votou;Sim;Não;Não Votou;OPOSIÇÃO;-17.177761;-14.137241
CARLA ZAMBELLI;PSL;São Paulo;350;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;GOVERNO;17.941954;18.640738
CEZINHA DE MADUREIRA;PSD;São Paulo;351;Não;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Não;Não Votou;Não;GOVERNO;16.278269;3.835162
EDUARDO BOLSONARO;PSL;São Paulo;352;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Sim;Obstrução;Sim;Não Votou;Não;Não Votou;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;15.998207;18.194145
EDUARDO CURY;PSDB;São Paulo;353;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;15.252131;2.9352376
CORONEL TADEU;PSL;São Paulo;354;Não Votou;Não;Sim;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;18.218046;10.645617
FAUSTO PINATO;PP;São Paulo;355;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Sim;Não Votou;GOVERNO;-7.231099;-6.210336
DAVID SOARES;DEM;São Paulo;356;Não;Não Votou;Sim;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;10.618493;-1.2530488
ENRICO MISASI;PV;São Paulo;357;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;MINORIA;11.1332035;6.666425
GENERAL PETERNELLI;PSL;São Paulo;358;Não;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;19.763159;19.159456
IVAN VALENTE;PSOL;São Paulo;359;Obstrução;Obstrução;Não;Obstrução;Sim;Não;Sim;Obstrução;Obstrução;Não;Obstrução;Sim;Obstrução;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-20.608566;-22.448658
GILBERTO NASCIMENTO;PSC;São Paulo;360;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Obstrução;GOVERNO;8.414546;16.639967
GENINHO ZULIANI;DEM;São Paulo;361;Não;Não;Sim;Não Votou;Sim;Sim;Não;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;GOVERNO;-1.1098944;12.765626
HERCULANO PASSOS;MDB;São Paulo;362;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não;GOVERNO;4.302664;10.767345
GUIGA PEIXOTO;PSL;São Paulo;363;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;24.16273;22.926258
JOICE HASSELMANN;PSL;São Paulo;364;Não;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;25.093359;22.912603
JÚNIOR BOZZELLA;PSL;São Paulo;365;Não Votou;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;GOVERNO;22.683645;26.280224
KIM KATAGUIRI;DEM;São Paulo;366;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;6.6327214;11.495888
LUIZ CARLOS MOTTA;PR;São Paulo;367;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Não;Não;GOVERNO;-0.3737318;3.205314
LUIZ PHILIPPE DE ORLEANS E BRAG;PSL;São Paulo;368;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;19.558546;18.969229
MARCO BERTAIOLLI;PSD;São Paulo;369;Não;Não;Sim;Não Votou;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;17.540878;11.459567
MARCIO ALVINO;PR;São Paulo;370;Não;Não;Sim;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;16.702019;10.965803
LUIZA ERUNDINA;PSOL;São Paulo;371;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-7.068028;-11.105482
PAULO PEREIRA DA SILVA;Solidariedade;São Paulo;372;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Sim;Não;Não Votou;MINORIA;-5.98418;-7.22018
MARCOS PEREIRA;PRB;São Paulo;373;Não Votou;Não;Art.;Não Votou;Sim;Não;Sim;Não;Não;Art.;Não Votou;Não;Sim;Sim;Sim;Não Votou;Não;Não;Não Votou;GOVERNO;-3.9995716;-3.6262205
MARIA ROSAS;PRB;São Paulo;374;Não;Sim;Sim;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Não;Não;Não;GOVERNO;-5.5862355;-1.2348634
MILTON VIEIRA;PRB;São Paulo;375;Não;Não Votou;Sim;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Não Votou;GOVERNO;-5.854329;-1.1009177
PAULO TEIXEIRA;PT;São Paulo;376;Não Votou;Obstrução;Não;Não Votou;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não Votou;Obstrução;Sim;Não Votou;Não Votou;OPOSIÇÃO;-16.285332;-23.993074
POLICIAL KATIA SASTRE;PR;São Paulo;377;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;7.231395;10.629445
MIGUEL LOMBARDI;PR;São Paulo;378;Não Votou;Não;Sim;Não;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;GOVERNO;-2.2175288;4.6751766
PR. MARCO FELICIANO;Podemos;São Paulo;379;Não;Não Votou;Sim;Não Votou;Sim;Não;Sim;Sim;Não Votou;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;MINORIA;-0.3475691;-2.2379274
PAULO FREIRE;PR;São Paulo;380;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não Votou;GOVERNO;-1.4454232;6.851787
LUIZ FLÁVIO GOMES;PSB;São Paulo;381;Não Votou;Sim;Sim;Não Votou;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não Votou;OPOSIÇÃO;-26.058823;-16.277115
NILTO TATTO;PT;São Paulo;382;Obstrução;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-17.495144;-22.625214
RICARDO IZAR;PP;São Paulo;383;Não Votou;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;5.3946986;10.691105
RODRIGO AGOSTINHO;PSB;São Paulo;384;Não Votou;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Não Votou;Sim;Não;Não Votou;OPOSIÇÃO;-26.889853;-14.476312
